platform,record_a,record_b,match_type,breakdown
BBM,BBM:F008170,BBM:F035545,similar,06
BBM,BBM:F010204,BBM:F010205,strict,06
BBM,BBM:F015002,BBM:F034945,similar,06
BBM,BBM:F015002,BBM:F035632,similar,06
BBM,BBM:F034945,BBM:F035632,similar,06
BBM,BBM:F016234,BBM:F016240,similar,06
BBM,BBM:F016234,BBM:F034820,similar,06
BBM,BBM:F016240,BBM:F034820,similar,06
BBM,BBM:F020614,BBM:F020619,strict,06
BBM,BBM:F021215,BBM:F021323,similar,06
BBM,BBM:F022119,BBM:F027583,similar,06
BBM,BBM:F024605,BBM:F034637,similar,06
BBM,BBM:F024605,BBM:F035403,similar,06
BBM,BBM:F024605,BBM:F035486,similar,06
BBM,BBM:F024605,BBM:F035490,similar,06
BBM,BBM:F034637,BBM:F035403,similar,06
BBM,BBM:F034637,BBM:F035486,similar,06
BBM,BBM:F034637,BBM:F035490,similar,06
BBM,BBM:F035403,BBM:F035486,similar,06
BBM,BBM:F035403,BBM:F035490,similar,06
BBM,BBM:F035486,BBM:F035490,similar,06
BBM,BBM:F024663,BBM:F024686,similar,06
BBM,BBM:F024663,BBM:F035242,similar,06
BBM,BBM:F024663,BBM:F035285,similar,06
BBM,BBM:F024663,BBM:F035568,similar,06
BBM,BBM:F024663,BBM:F035615,similar,06
BBM,BBM:F024686,BBM:F035242,similar,06
BBM,BBM:F024686,BBM:F035285,similar,06
BBM,BBM:F024686,BBM:F035568,similar,06
BBM,BBM:F024686,BBM:F035615,similar,06
BBM,BBM:F035242,BBM:F035285,similar,06
BBM,BBM:F035242,BBM:F035568,similar,06
BBM,BBM:F035242,BBM:F035615,similar,06
BBM,BBM:F035285,BBM:F035568,similar,06
BBM,BBM:F035285,BBM:F035615,similar,06
BBM,BBM:F035568,BBM:F035615,similar,06
BBM,BBM:F025273,BBM:F035263,similar,06
BBM,BBM:F025273,BBM:F035588,similar,06
BBM,BBM:F035263,BBM:F035588,similar,06
BBM,BBM:F026137,BBM:F026193,similar,06
BBM,BBM:F027018,BBM:F027125,similar,06
BBM,BBM:F027018,BBM:F027227,similar,06
BBM,BBM:F027125,BBM:F027227,similar,06
BBM,BBM:F028895,BBM:F028904,similar,06
BBM,BBM:F029302,BBM:F029366,similar,06
BBM,BBM:F029302,BBM:F029459,similar,06
BBM,BBM:F029302,BBM:F029499,similar,06
BBM,BBM:F029302,BBM:F029655,similar,06
BBM,BBM:F029366,BBM:F029459,similar,06
BBM,BBM:F029366,BBM:F029499,similar,06
BBM,BBM:F029366,BBM:F029655,similar,06
BBM,BBM:F029459,BBM:F029499,similar,06
BBM,BBM:F029459,BBM:F029655,similar,06
BBM,BBM:F029499,BBM:F029655,similar,06
BBM,BBM:F029398,BBM:F029556,similar,06
BBM,BBM:F029486,BBM:F029495,similar,06
BBM,BBM:F029486,BBM:F029496,similar,06
BBM,BBM:F029495,BBM:F029496,similar,06
BBM,BBM:F029487,BBM:F029497,similar,06
BBM,BBM:F029498,BBM:F029637,similar,06
BBM,BBM:F029498,BBM:F029654,similar,06
BBM,BBM:F029637,BBM:F029654,similar,06
BBM,BBM:F029799,BBM:F029917,similar,06
BBM,BBM:F029799,BBM:F029953,similar,06
BBM,BBM:F029917,BBM:F029953,similar,06
BBM,BBM:F029839,BBM:F029988,similar,06
BBM,BBM:F029871,BBM:F029933,similar,06
BBM,BBM:F031039,BBM:F031040,strict,06
BBM,BBM:F031477,BBM:F031552,similar,06
BBM,BBM:F031786,BBM:F031824,similar,06
BBM,BBM:F032197,BBM:F032235,similar,06
BBM,BBM:F033265,BBM:F033282,similar,06
BBM,BBM:F033526,BBM:F033527,strict,06
mo,MO:261317,MO:262397,similar,06
mo,MO:261317,MO:262707,similar,06
mo,MO:262397,MO:262707,similar,06
mo,MO:261556,MO:263310,similar,06
mo,MO:387882,MO:387891,strict,06
mo,MO:387882,MO:387970,strict,06
mo,MO:387882,MO:387973,strict,06
mo,MO:387882,MO:387982,strict,06
mo,MO:387891,MO:387970,strict,06
mo,MO:387891,MO:387973,strict,06
mo,MO:387891,MO:387982,strict,06
mo,MO:387970,MO:387973,strict,06
mo,MO:387970,MO:387982,strict,06
mo,MO:387973,MO:387982,strict,06
BBM,BBM:F008180,BBM:F033737,similar,06
BBM,BBM:F008180,BBM:F034674,similar,06
BBM,BBM:F033737,BBM:F034674,similar,06
BBM,BBM:F008186,BBM:F008188,similar,06
BBM,BBM:F008186,BBM:F008189,similar,06
BBM,BBM:F008188,BBM:F008189,similar,06
BBM,BBM:F015241,BBM:F015308,strict,06
BBM,BBM:F015966,BBM:F035413,similar,06
BBM,BBM:F020650,BBM:F020678,similar,06
BBM,BBM:F020650,BBM:F020921,similar,06
BBM,BBM:F020678,BBM:F020921,similar,06
BBM,BBM:F022127,BBM:F022128,similar,06
BBM,BBM:F022607,BBM:F022632,similar,06
BBM,BBM:F022607,BBM:F022635,similar,06
BBM,BBM:F022632,BBM:F022635,similar,06
BBM,BBM:F022654,BBM:F022706,similar,06
BBM,BBM:F027096,BBM:F027229,similar,06
BBM,BBM:F028970,BBM:F033084,similar,06
BBM,BBM:F029800,BBM:F029918,similar,06
BBM,BBM:F033389,BBM:F033430,similar,06
mo,MO:244554,MO:260890,similar,06
BBM,BBM:F008473,BBM:F008475,similar,06
mo,MO:234913,MO:244282,similar,06
BBM,BBM:F000625,BBM:F035330,similar,06
BBM,BBM:F000625,BBM:F035598,similar,06
BBM,BBM:F000625,BBM:F035669,similar,06
BBM,BBM:F035330,BBM:F035598,similar,06
BBM,BBM:F035330,BBM:F035669,similar,06
BBM,BBM:F035598,BBM:F035669,similar,06
BBM,BBM:F008763,BBM:F008764,strict,06
BBM,BBM:F008763,BBM:F008766,strict,06
BBM,BBM:F008764,BBM:F008766,strict,06
BBM,BBM:F008770,BBM:F008775,strict,06
BBM,BBM:F008786,BBM:F008787,strict,06
BBM,BBM:F008794,BBM:F008795,strict,06
BBM,BBM:F024152,BBM:F024178,similar,06
BBM,BBM:F024152,BBM:F024288,similar,06
BBM,BBM:F024152,BBM:F024746,similar,06
BBM,BBM:F024152,BBM:F024808,similar,06
BBM,BBM:F024152,BBM:F024850,similar,06
BBM,BBM:F024178,BBM:F024288,similar,06
BBM,BBM:F024178,BBM:F024746,similar,06
BBM,BBM:F024178,BBM:F024808,similar,06
BBM,BBM:F024178,BBM:F024850,similar,06
BBM,BBM:F024288,BBM:F024746,similar,06
BBM,BBM:F024288,BBM:F024808,similar,06
BBM,BBM:F024288,BBM:F024850,similar,06
BBM,BBM:F024746,BBM:F024808,similar,06
BBM,BBM:F024746,BBM:F024850,similar,06
BBM,BBM:F024808,BBM:F024850,similar,06
BBM,BBM:F024254,BBM:F035317,similar,06
BBM,BBM:F024745,BBM:F027472,similar,06
