mo_id,ubc_F,genbank,action_scope,requested_action,status,current_evidence,breakdown
128847,F25806,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25806 does not contain MO ref 128847,07
237405,F28978,,UBC/BBM,Add MO #,still_unimplemented,BBM F28978 does not contain MO ref 237405,07
237405,F28978,,Mushroom Observer,Correct to F28978,changed_elsewhere,"MO 237405 cites F25578, not F28978","02,07"
102451,F25547,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25547 does not contain MO ref 102451,07
98424,F25524,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25524 does not contain MO ref 98424,07
98424,F25524,,Mushroom Observer,Add F25524,still_unimplemented,MO 98424 does not cite F25524,07
66969,F24400,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24400 does not contain MO ref 66969,07
152711,F26258,,UBC/BBM,"Add prefix ""MO #"" to 160703",still_unimplemented,BBM F26258 does not contain MO ref 152711,07
152711,F26258,,Mushroom Observer,Delete MUOB 152711; update name in MUOB 160703,cannot_assess_current_extract,Unsupported or editorial MO action; inspect source row manually,07
65673,F27310,,UBC/BBM,Add MO #,still_unimplemented,BBM F27310 does not contain MO ref 65673,07
64910,F20266,–,UBC/BBM,Add MO #,still_unimplemented,BBM F20266 does not contain MO ref 64910,07
64908,F20228,–,UBC/BBM,Add MO #,still_unimplemented,BBM F20228 does not contain MO ref 64908,07
203748,F24279,–,UBC/BBM,Add MO #,still_unimplemented,BBM F24279 does not contain MO ref 203748,07
191204,F29428,–,UBC/BBM,Add MO #,still_unimplemented,BBM F29428 does not contain MO ref 191204,07
190669,F26410,–,UBC/BBM,Add MO #,still_unimplemented,BBM F26410 does not contain MO ref 190669,07
172733,F28792,–,UBC/BBM,Add MO #,still_unimplemented,BBM F28792 does not contain MO ref 172733,07
140003,F16326,FJ039547,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F16326 does not contain MO ref 140003,07
140003,F16326,FJ039547,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F16326 missing accession(s) FJ039547,07
140003,F16326,FJ039547,GenBank,"Add MO #, add F#",still_unimplemented,FJ039547: missing_F,07
140003,F16326,FJ039547,GenBank,"Add MO #, add F#",cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
170938,F24476,,UBC/BBM,Add MO #,still_unimplemented,BBM F24476 does not contain MO ref 170938,07
170808,F24455,–,UBC/BBM,Add MO #,still_unimplemented,BBM F24455 does not contain MO ref 170808,07
170785,F24448,–,UBC/BBM,Add MO #,still_unimplemented,BBM F24448 does not contain MO ref 170785,07
166541,F22962,–,UBC/BBM,Add MO #,still_unimplemented,BBM F22962 does not contain MO ref 166541,07
166104,F29841,–,UBC/BBM,Add MO #,still_unimplemented,BBM F29841 does not contain MO ref 166104,07
165193,F26589,–,UBC/BBM,Add MO #,still_unimplemented,BBM F26589 does not contain MO ref 165193,07
163801,F20103,–,UBC/BBM,Add MO #,still_unimplemented,BBM F20103 does not contain MO ref 163801,07
161585,F24420,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24420 does not contain MO ref 161585,07
161569,F24374,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24374 does not contain MO ref 161569,07
161534,F24342,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24342 does not contain MO ref 161534,07
161533,F24363,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24363 does not contain MO ref 161533,07
161532,F24358,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24358 does not contain MO ref 161532,07
160704,F26118,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26118 does not contain MO ref 160704,07
160662,F26107,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26107 does not contain MO ref 160662,07
160580,F25937,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25937 does not contain MO ref 160580,07
160424,F25961,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25961 does not contain MO ref 160424,07
160417,F25953,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25953 does not contain MO ref 160417,07
160381,F25927,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25927 does not contain MO ref 160381,07
160380,F25928,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25928 does not contain MO ref 160380,07
160378,F25930,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25930 does not contain MO ref 160378,07
160377,F25915,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25915 does not contain MO ref 160377,07
159833,F25282,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25282 does not contain MO ref 159833,07
159821,F25250,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25250 does not contain MO ref 159821,07
159804,F25226,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25226 does not contain MO ref 159804,07
159756,F25200,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25200 does not contain MO ref 159756,07
159755,F25203,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25203 does not contain MO ref 159755,07
159754,F25202,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25202 does not contain MO ref 159754,07
159753,F25199,MF955059,UBC/BBM,"Add GB #, add prefix ""MO #""",still_unimplemented,BBM F25199 does not contain MO ref 159753,07
159753,F25199,MF955059,UBC/BBM,"Add GB #, add prefix ""MO #""",still_unimplemented,BBM F25199 missing accession(s) MF955059,07
159753,F25199,MF955059,GenBank,Add MO# (has F-),cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
159703,F24923,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24923 does not contain MO ref 159703,07
159702,F24943,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24943 does not contain MO ref 159702,07
159694,F25462,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25462 does not contain MO ref 159694,07
