bbm,guid,status,breakdown
F000303,F7EDC841-FCB8-5246-B431-6E5EBAC4359E,present,
F000304,A4B9B5CD-1B0E-4545-82E2-D79F52CF8F73,present,
F000305,5A713F6F-EF0A-4D47-BDAC-0EBD4D0F400D,present,
F000306,A22257CD-EED1-0844-A4E7-56A2217CC6A5,present,
F000307,16F374AC-0A04-E54B-88B2-D1CF84AF66A9,present,
F000308,C01FC2C4-2C16-5749-BB34-00195840A7F2,present,
F000309,9D3B8907-D68A-024A-AC9B-C455B60E772C,present,
F000310,323D9C68-088E-3942-A37E-BDFF903E1DD7,present,
F000311,43208514-3066-E74C-B80E-A6617974D8EF,present,
F000312,5CE02ECC-E89A-BD4F-8C53-EC3791EEF54D,present,
F000313,8BC20CE1-E434-EE45-93C7-F3A2A26DD3A9,present,
F000314,329A93ED-3714-CC48-8A18-5C7F30D3056A,present,
F000315,B593FCEC-646E-8349-AD0C-1CD09AFFB5F4,present,
F000316,E90A7147-4490-AB44-A346-8A77DE77A2D7,present,
F000317,9F9D7E22-C400-754E-8434-9AC4880B9092,present,
F000318,0065C57B-FA05-AF4F-BDBE-1584F43F1F5E,present,
F000319,6CDFF148-7B40-894E-8B96-02DEEA252D34,present,
F000320,8DF606D7-3604-C44F-B2AF-3E960F77BE1E,present,
F000321,93D97C71-50FB-7444-8F04-A92CFF7F39CB,present,
F000322,DBB3EE82-A535-8B4B-9F75-45860CA0301A,present,
F000323,9BCDFDB4-9434-D347-9A7A-13ADECF03041,present,
F000324,1224EC4D-FC0A-7D44-B949-FFCB7EA86DC4,present,
F000325,00991330-DC13-AB4E-AB53-DF9F503FE0D4,present,
F000326,8892CBAE-872B-F849-ABAA-52C01ECEF5DF,present,
F000327,5C031779-7C53-6F4A-8824-CA0D58C3A68F,present,
F000328,25DE6EE1-40E6-BD46-BCEB-A46D67C3817C,present,
F000329,B7ECC29B-3EB8-CA41-B543-D9FA04141F49,present,
F000330,DACA7600-AD09-EA47-95DD-E7A7C85C4573,present,
F000331,DC7F844B-91E9-B44B-BD82-F5F8F04A8F45,present,
F000332,44F33ACF-9E5A-C244-BCEF-B57CA50A58CB,present,
F000333,0C26FCC1-5A23-D448-B389-5256128CA6DC,present,
F000334,F3E856C0-33FA-0449-A25C-165FD0D8A21F,present,
F000335,60DD0991-6317-EA43-B9C9-3D1D3037DDA3,present,
F000336,1C8BBF23-3AAE-834A-BED9-5C7B406CBE73,present,
F000337,C08CF782-2CD8-AB4E-A498-0EC0B650CA3D,present,
F000338,D534FC6E-F584-744E-BB25-FE34B5EF0B7C,present,
F000339,4744545A-8B04-BC4C-987B-32BA7B3EFDD5,present,
F000340,62C933C9-CE64-BE4A-8442-366CE6D3F606,present,
F000341,C78A1D0E-4A2A-E442-A176-638AE9F3241F,present,
F000342,4FE32A8D-DDF2-944C-95F2-BE26091FDC17,present,
F000343,63E551BD-2002-5C4E-8109-A2EEBD2A6C08,present,
F000344,FD8BA888-DAEE-BB43-8659-04E538416013,present,
F000345,B86DEBA5-22AC-004A-BCCF-CAF349BA6104,present,
F000346,495FF3A1-AC81-D44C-B0A5-CC375AC179B8,present,
F000347,74ABCBE5-3035-094F-A058-78026B83B370,present,
F000348,59FECF56-EAA2-1D42-8A67-DEC1E7A50179,present,
