bbm,platform_record,match_type,quadrant,confidence,justification,breakdown
BBM:F000754,MO:75885,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000754,MO:142886,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000754,MO:295370,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000754,MO:303558,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000754,MO:343581,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000754,MO:388011,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000768,MO:65429,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000768,MO:70189,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000768,MO:94886,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000768,MO:172840,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000768,MO:195468,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000768,MO:206334,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000768,MO:316063,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000768,MO:367793,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:93087,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:164207,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:235506,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:278870,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:316968,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:319710,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:364472,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:364848,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:368598,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001409,MO:453037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000777,MO:484610,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000887,MO:171428,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000887,MO:234922,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000887,MO:235030,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000999,MO:73109,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000999,MO:73110,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000999,MO:74546,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000999,MO:75887,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000999,MO:151564,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000999,MO:379228,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000999,MO:392359,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000999,MO:393122,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001528,MO:73109,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001528,MO:73110,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001528,MO:74546,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001528,MO:75887,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001528,MO:151564,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F001528,MO:379228,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001528,MO:392359,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001528,MO:393122,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000885,MO:314354,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000885,MO:358844,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000885,MO:364178,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000886,MO:99118,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001410,MO:73091,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F001410,MO:204069,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001410,MO:471684,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001410,MO:472572,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001412,MO:73091,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F001412,MO:204069,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001412,MO:471684,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001412,MO:472572,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001374,MO:238407,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001374,MO:493196,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001416,MO:185358,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001416,MO:305861,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001416,MO:329642,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001416,MO:442862,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001420,MO:185358,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001420,MO:305861,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001420,MO:329642,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001420,MO:442862,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001425,MO:185358,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001425,MO:305861,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001425,MO:329642,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001425,MO:442862,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001418,MO:71119,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001418,MO:71120,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F001418,MO:392350,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001418,MO:441648,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001421,MO:65527,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F001421,MO:326814,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001421,MO:375879,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001421,MO:376015,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001421,MO:378227,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001421,MO:381020,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001421,MO:426914,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001424,MO:65527,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F001424,MO:326814,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001424,MO:375879,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001424,MO:376015,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001424,MO:378227,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001424,MO:381020,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001424,MO:426914,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001256,MO:361159,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001260,MO:361159,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001266,MO:361159,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001291,MO:459310,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001003,MO:64202,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001003,MO:102271,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F001003,MO:480293,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001406,MO:64202,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001406,MO:102271,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F001406,MO:480293,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
