platform,record_a,record_b,match_type,breakdown
BBM,BBM:F000881,BBM:F000882,similar,06
BBM,BBM:F000821,BBM:F000822,similar,06
BBM,BBM:F000841,BBM:F000842,similar,06
BBM,BBM:F000939,BBM:F001059,similar,06
BBM,BBM:F000377,BBM:F000381,similar,06
BBM,BBM:F000456,BBM:F000457,similar,06
BBM,BBM:F000458,BBM:F000459,similar,06
BBM,BBM:F000820,BBM:F000834,similar,06
BBM,BBM:F000847,BBM:F000863,similar,06
BBM,BBM:F000864,BBM:F000865,similar,06
BBM,BBM:F000505,BBM:F001087,similar,06
BBM,BBM:F000505,BBM:F001093,similar,06
BBM,BBM:F001087,BBM:F001093,similar,06
BBM,BBM:F001079,BBM:F001080,similar,06
BBM,BBM:F001085,BBM:F001089,similar,06
BBM,BBM:F001085,BBM:F001092,similar,06
BBM,BBM:F001089,BBM:F001092,similar,06
BBM,BBM:F000508,BBM:F000509,similar,06
mo,MO:163334,MO:163435,similar,06
mo,MO:274270,MO:406978,similar,06
mo,MO:308804,MO:351197,similar,06
mo,MO:347654,MO:353942,similar,06
mo,MO:347654,MO:365001,similar,06
mo,MO:353942,MO:365001,similar,06
mo,MO:388118,MO:389103,similar,06
mo,MO:438537,MO:441727,similar,06
BBM,BBM:F000548,BBM:F000549,similar,06
BBM,BBM:F000562,BBM:F000565,similar,06
mo,MO:64042,MO:65319,similar,06
mo,MO:82832,MO:159754,similar,06
mo,MO:231047,MO:265138,similar,06
mo,MO:344400,MO:359640,similar,06
mo,MO:295105,MO:380995,similar,06
mo,MO:146405,MO:153894,similar,06
mo,MO:323988,MO:326764,similar,06
mo,MO:378452,MO:382931,similar,06
mo,MO:378452,MO:383383,similar,06
mo,MO:378452,MO:414097,similar,06
mo,MO:382931,MO:383383,similar,06
mo,MO:382931,MO:414097,similar,06
mo,MO:383383,MO:414097,similar,06
mo,MO:379241,MO:383377,similar,06
mo,MO:379241,MO:396507,similar,06
mo,MO:379241,MO:414331,similar,06
mo,MO:383377,MO:396507,similar,06
mo,MO:383377,MO:414331,similar,06
mo,MO:396507,MO:414331,similar,06
mo,MO:390563,MO:414091,similar,06
mo,MO:364419,MO:373298,similar,06
BBM,BBM:F000893,BBM:F000894,similar,06
BBM,BBM:F000893,BBM:F000897,similar,06
